dataset,M,K,nnz,col_mean_n,col_std_n,col_min_n,col_max_n,row_mean_n,row_std_n
synth_mixed_v4,200000,200000,7410217,0.5000398316034469,0.2887669084956295,0.0,0.999995,0.5019653660716009,0.2891674870765626
synth_mixed_v5,200000,200000,7276677,0.49995163142736715,0.288621649843364,0.0,0.999995,0.5003775385076182,0.28826944374546276
synth_dense_small_d30,10000,10000,300000,0.4997611813333333,0.2890505874314122,0.0,0.9999,0.49995,0.28867513315143717
synth_dense_small_d50,10000,10000,500000,0.4998112118,0.2887073149715392,0.0,0.9999,0.49995,0.28867513315143717
synth_dense_small_d70,10000,10000,700000,0.4994098124285714,0.2891471807619073,0.0,0.9999,0.49995,0.28867513315143717
synth_dense_small_d90,10000,10000,900000,0.5001720964444445,0.28860700259109057,0.0,0.9999,0.49995,0.28867513315143717
synth_dense_small_d120,10000,10000,1200000,0.5004467396666666,0.2887955263251496,0.0,0.9999,0.49995,0.28867513315143717
synth_sparse_uniform_d3,300000,300000,900000,0.4999097238740741,0.2886913314745102,3.3333333333333333e-06,0.9999966666666666,0.4999983333333333,0.28867513459320915
synth_sparse_uniform_d5,300000,300000,1500000,0.49983358896666663,0.2885400790095241,0.0,0.9999966666666666,0.4999983333333333,0.28867513459320915
synth_sparse_uniform_d8,300000,300000,2400000,0.49982600294444446,0.2886739340879438,0.0,0.9999966666666666,0.4999983333333333,0.28867513459320915
synth_sparse_uniform_d12,300000,300000,3600000,0.5000147057148148,0.2886051992240095,0.0,0.9999966666666666,0.4999983333333333,0.28867513459320915
synth_sparse_uniform_d18,300000,300000,5400000,0.49998246430555554,0.28871347722398083,0.0,0.9999966666666666,0.4999983333333333,0.2886751345932089
